Category,Accuracy,Recall,Precision,F1
GoodsServices,0.9919124643196955,0.09090909090909091,0.125,0.10526315789473685
SearchAndRescue,0.9795432921027593,0.375,0.34285714285714286,0.3582089552238806
InformationWanted,0.9843006660323501,0.0,0.0,0.0
Volunteer,0.9938154138915318,0.1,0.2,0.13333333333333333
Donations,0.9548049476688868,0.6785714285714286,0.456,0.5454545454545455
MovePeople,0.9990485252140818,0.0,0.0,0.0
FirstPartyObservation,0.7978116079923881,0.4257142857142857,0.39946380697050937,0.41217150760719223
ThirdPartyObservation,0.8425309229305423,0.6513317191283293,0.5899122807017544,0.619102416570771
Weather,0.9381541389153187,0.8837209302325582,0.4978165938864629,0.6368715083798883
EmergingThreats,0.9500475737392959,0.44871794871794873,0.36082474226804123,0.4
SignificantEventChange,0.961465271170314,0.2972972972972973,0.16666666666666666,0.21359223300970873
MultimediaShare,0.8044719314938155,0.5058548009367682,0.5192307692307693,0.5124555160142349
ServiceAvailable,0.9419600380589914,0.5428571428571428,0.4351145038167939,0.48305084745762705
Factoid,0.8867745004757374,0.5961538461538461,0.5381944444444444,0.5656934306569343
Official,0.9586108468125595,0.47058823529411764,0.2857142857142857,0.35555555555555557
CleanUp,0.9971455756422455,0.0,0.0,0.0
Hashtags,0.8587059942911512,0.4782608695652174,0.5441696113074205,0.5090909090909091
PastNews,0.972407231208373,0.8287671232876712,0.7857142857142857,0.8066666666666666
ContinuingNews,0.8025689819219791,0.6764132553606238,0.5822147651006712,0.6257889990982868
Advice,0.9058039961941009,0.4132231404958678,0.2824858757062147,0.33557046979865773
Sentiment,0.7930542340627973,0.7366197183098592,0.6783398184176395,0.7062795408507766
Discussion,0.8929590865842055,0.5021459227467812,0.5176991150442478,0.5098039215686274
Irrelevant,0.8277830637488106,0.3837638376383764,0.34782608695652173,0.3649122807017544
Unknown,0.9952426260704091,0.0,0.0,0.0
KnownAlready,0.8986679352997146,0.5642857142857143,0.341991341991342,0.4258760107816712
