Category,Accuracy,Recall,Precision,F1
GoodsServices,0.9857278782112274,0.38461538461538464,0.18518518518518517,0.25
SearchAndRescue,0.9804947668886774,0.8235294117647058,0.4444444444444444,0.5773195876288659
InformationWanted,0.9657469077069457,0.45,0.12857142857142856,0.19999999999999998
Volunteer,0.9862036156041865,0.375,0.1111111111111111,0.17142857142857143
Donations,0.9357754519505234,0.7241379310344828,0.3620689655172414,0.4827586206896552
MovePeople,0.9966698382492863,0.2,0.25,0.22222222222222224
FirstPartyObservation,0.7140818268315889,0.6731301939058172,0.3347107438016529,0.4471021159153633
ThirdPartyObservation,0.8306374881065651,0.755656108597285,0.5738831615120275,0.65234375
Weather,0.9305423406279734,0.8333333333333334,0.49586776859504134,0.6217616580310881
EmergingThreats,0.934348239771646,0.6455696202531646,0.3167701863354037,0.42500000000000004
SignificantEventChange,0.9538534728829686,0.5,0.21649484536082475,0.302158273381295
MultimediaShare,0.7378686964795433,0.6819277108433734,0.4031339031339031,0.5067144136078782
ServiceAvailable,0.9015223596574691,0.6846846846846847,0.3064516129032258,0.4233983286908078
Factoid,0.8306374881065651,0.657258064516129,0.37557603686635943,0.47800586510263926
Official,0.9529019980970505,0.47619047619047616,0.20618556701030927,0.2877697841726618
CleanUp,0.9900095147478591,0.1,0.07692307692307693,0.08695652173913043
Hashtags,0.7730732635585157,0.6446540880503144,0.3602811950790861,0.46223224351747466
PastNews,0.9552806850618458,0.8088235294117647,0.6179775280898876,0.7006369426751592
ContinuingNews,0.7678401522359658,0.6854545454545454,0.5447976878612717,0.607085346215781
Advice,0.8510941960038059,0.6050420168067226,0.21301775147928995,0.3150984682713348
Sentiment,0.7868696479543292,0.7891737891737892,0.6487119437939111,0.712082262210797
Discussion,0.8106565176022835,0.680365296803653,0.31236897274633124,0.4281609195402299
Irrelevant,0.7431018078020932,0.625,0.2722772277227723,0.37931034482758624
Unknown,0.9752616555661275,0.1111111111111111,0.022222222222222223,0.037037037037037035
KnownAlready,0.8705994291151284,0.5849056603773585,0.21379310344827587,0.31313131313131315
