Category,Accuracy,Recall,Precision,F1
GoodsServices,0.9933396764985728,0.17647058823529413,1.0,0.3
SearchAndRescue,0.9881065651760228,0.6666666666666666,0.48484848484848486,0.5614035087719298
InformationWanted,0.9857278782112274,0.0,0.0,0.0
Volunteer,0.9900095147478591,0.0,0.0,0.0
Donations,0.9628924833491912,0.618421052631579,0.4895833333333333,0.5465116279069767
MovePeople,0.9980970504281637,0.0,0.0,0.0
FirstPartyObservation,0.8044719314938155,0.43699731903485256,0.4478021978021978,0.4423337856173677
ThirdPartyObservation,0.8549000951474786,0.7060185185185185,0.6314699792960663,0.6666666666666667
Weather,0.9333967649857279,0.8082191780821918,0.5130434782608696,0.6276595744680852
EmergingThreats,0.9452901998097051,0.4155844155844156,0.3137254901960784,0.3575418994413408
SignificantEventChange,0.956232159847764,0.34782608695652173,0.20512820512820512,0.2580645161290323
MultimediaShare,0.8163653663177926,0.56,0.5161290322580645,0.5371702637889688
ServiceAvailable,0.9414843006660324,0.4824561403508772,0.46218487394957986,0.4721030042918455
Factoid,0.8663177925784966,0.5847457627118644,0.42990654205607476,0.4955116696588869
Official,0.9552806850618458,0.44,0.25,0.31884057971014496
CleanUp,0.9980970504281637,0.0,0.0,0.0
Hashtags,0.8477640342530923,0.46646341463414637,0.5134228187919463,0.4888178913738019
PastNews,0.9705042816365367,0.75,0.7377049180327869,0.743801652892562
ContinuingNews,0.7949571836346336,0.6484962406015038,0.5857385398981324,0.615521855486173
Advice,0.9053282588011418,0.36036036036036034,0.23809523809523808,0.2867383512544803
Sentiment,0.7925784966698383,0.7600554785020804,0.6757090012330457,0.7154046997389034
Discussion,0.8972407231208372,0.4444444444444444,0.47668393782383417,0.46
Irrelevant,0.8235014272121789,0.4028776978417266,0.35331230283911674,0.37647058823529417
Unknown,0.9961941008563273,0.0,0.0,0.0
KnownAlready,0.9053282588011418,0.5982142857142857,0.3031674208144796,0.40240240240240244
