Category,Accuracy,Recall,Precision,F1
GoodsServices,0.9823977164605138,0.5625,0.23076923076923078,0.32727272727272727
SearchAndRescue,0.9771646051379639,0.6818181818181818,0.46875,0.5555555555555556
InformationWanted,0.966698382492864,0.2777777777777778,0.08064516129032258,0.125
Volunteer,0.9881065651760228,0.35294117647058826,0.3,0.3243243243243243
Donations,0.9348239771646052,0.6153846153846154,0.3096774193548387,0.4120171673819743
MovePeople,0.9938154138915318,0.25,0.09090909090909091,0.13333333333333333
FirstPartyObservation,0.7055185537583254,0.605,0.3442389758179232,0.43880326382592927
ThirdPartyObservation,0.834919124643197,0.7975,0.5452991452991452,0.6477157360406092
Weather,0.9348239771646052,0.7801418439716312,0.5092592592592593,0.6162464985994398
EmergingThreats,0.939581351094196,0.5441176470588235,0.2781954887218045,0.3681592039800995
SignificantEventChange,0.9471931493815414,0.52,0.23008849557522124,0.31901840490797545
MultimediaShare,0.7664129400570885,0.7544303797468355,0.430635838150289,0.5482980680772769
ServiceAvailable,0.9043767840152236,0.7619047619047619,0.3125,0.44321329639889195
Factoid,0.840627973358706,0.7164750957854407,0.4174107142857143,0.5275035260930889
Official,0.9381541389153187,0.3829787234042553,0.15126050420168066,0.21686746987951805
CleanUp,0.9938154138915318,0.4,0.36363636363636365,0.380952380952381
Hashtags,0.7854424357754519,0.6291793313069909,0.38619402985074625,0.47861271676300576
PastNews,0.9567078972407231,0.7711864406779662,0.5870967741935483,0.6666666666666666
ContinuingNews,0.7725975261655567,0.7245841035120147,0.5436893203883495,0.6212361331220285
Advice,0.8387250237868696,0.48412698412698413,0.18208955223880596,0.26464208242950105
Sentiment,0.7859181731684111,0.7664233576642335,0.6441717791411042,0.7
Discussion,0.8030447193149381,0.6388888888888888,0.2911392405063291,0.4
Irrelevant,0.7445290199809705,0.5813953488372093,0.25906735751295334,0.3584229390681004
Unknown,0.9757373929590866,0.0,0.0,0.0
KnownAlready,0.8691722169362512,0.6203703703703703,0.22259136212624583,0.32762836185819066
