Category,Accuracy,Recall,Precision,F1
GoodsServices,0.9938154138915318,0.1,0.2,0.13333333333333333
SearchAndRescue,0.9819219790675547,0.3548387096774194,0.3793103448275862,0.36666666666666664
InformationWanted,0.9876308277830638,0.05263157894736842,0.1111111111111111,0.07142857142857142
Volunteer,0.9952426260704091,0.0,0.0,0.0
Donations,0.9581351094196003,0.6049382716049383,0.4666666666666667,0.5268817204301075
MovePeople,0.9976213130352045,0.0,0.0,0.0
FirstPartyObservation,0.7835394862036156,0.4244791666666667,0.4105793450881612,0.4174135723431498
ThirdPartyObservation,0.8629876308277831,0.7180094786729858,0.6419491525423728,0.6778523489932886
Weather,0.9352997145575642,0.8444444444444444,0.4978165938864629,0.6263736263736264
EmergingThreats,0.9495718363463368,0.4,0.32967032967032966,0.3614457831325301
SignificantEventChange,0.9567078972407231,0.4523809523809524,0.21839080459770116,0.29457364341085274
MultimediaShare,0.8092293054234063,0.5325301204819277,0.5163551401869159,0.524317912218268
ServiceAvailable,0.9348239771646052,0.496,0.45588235294117646,0.4750957854406131
Factoid,0.8705994291151284,0.5643153526970954,0.44884488448844884,0.5
Official,0.9571836346336822,0.4878048780487805,0.2247191011235955,0.30769230769230765
CleanUp,0.9990485252140818,0.0,0.0,0.0
Hashtags,0.8501427212178877,0.47865853658536583,0.521594684385382,0.4992050874403816
PastNews,0.9738344433872502,0.7903225806451613,0.7716535433070866,0.7808764940239042
ContinuingNews,0.7835394862036156,0.6467391304347826,0.5786061588330632,0.6107784431137725
Advice,0.8939105613701237,0.3203125,0.23163841807909605,0.26885245901639343
Sentiment,0.8097050428163654,0.7532097004279601,0.6993377483443709,0.7252747252747253
Discussion,0.8967649857278782,0.43119266055045874,0.5026737967914439,0.4641975308641975
Irrelevant,0.8239771646051379,0.34767025089605735,0.34035087719298246,0.34397163120567376
Unknown,0.994291151284491,0.0,0.0,0.0
KnownAlready,0.917697431018078,0.6697247706422018,0.3476190476190476,0.45768025078369906
