Category,Accuracy,Recall,Precision,F1
GoodsServices,0.9957183634633682,0.2857142857142857,0.3333333333333333,0.30769230769230765
SearchAndRescue,0.9938154138915318,0.8378378378378378,0.8157894736842105,0.8266666666666665
InformationWanted,0.9895337773549001,0.2,0.125,0.15384615384615385
Volunteer,0.9923882017126546,0.0,0.0,0.0
Donations,0.9676498572787822,0.4588235294117647,0.639344262295082,0.5342465753424658
MovePeople,0.9990485252140818,0.0,0.0,0.0
FirstPartyObservation,0.8149381541389153,0.35509138381201044,0.4892086330935252,0.41149773071104384
ThirdPartyObservation,0.8653663177925784,0.5885167464114832,0.6890756302521008,0.6348387096774193
Weather,0.9519505233111323,0.5895522388059702,0.632,0.6100386100386102
EmergingThreats,0.9757373929590866,0.4782608695652174,0.6875,0.5641025641025642
SignificantEventChange,0.9700285442435775,0.17073170731707318,0.19444444444444445,0.18181818181818182
MultimediaShare,0.8168411037107517,0.5163727959697733,0.5150753768844221,0.5157232704402515
ServiceAvailable,0.9590865842055185,0.5794392523364486,0.6019417475728155,0.5904761904761904
Factoid,0.8981921979067554,0.4603174603174603,0.5979381443298969,0.5201793721973094
Official,0.9743101807802094,0.1320754716981132,0.4666666666666667,0.2058823529411765
CleanUp,0.9966698382492863,0.0,0.0,0.0
Hashtags,0.8596574690770694,0.37735849056603776,0.5529953917050692,0.4485981308411215
PastNews,0.9776403425309229,0.8308823529411765,0.8248175182481752,0.827838827838828
ContinuingNews,0.801617507136061,0.532347504621072,0.6371681415929203,0.580060422960725
Advice,0.9186489058039962,0.0851063829787234,0.2222222222222222,0.12307692307692307
Sentiment,0.8068506184586108,0.6695526695526696,0.7238689547581904,0.6956521739130435
Discussion,0.8986679352997146,0.5093457943925234,0.5023041474654378,0.5058004640371231
Irrelevant,0.8653663177925784,0.40794223826714804,0.4870689655172414,0.444007858546169
Unknown,0.9852521408182683,0.0,0.0,0.0
KnownAlready,0.9376784015223597,0.35964912280701755,0.41414141414141414,0.38497652582159625
