Category,Accuracy,Recall,Precision,F1
GoodsServices,0.9414843006660324,0.5,0.056910569105691054,0.10218978102189781
SearchAndRescue,0.9752616555661275,0.6785714285714286,0.3064516129032258,0.4222222222222222
InformationWanted,0.6465271170313986,0.7,0.018641810918774968,0.03631647211413749
Volunteer,0.9381541389153187,0.75,0.0661764705882353,0.12162162162162163
Donations,0.9314938154138915,0.6956521739130435,0.2807017543859649,0.39999999999999997
MovePeople,0.9785918173168411,0.4,0.045454545454545456,0.0816326530612245
FirstPartyObservation,0.6103710751665081,0.633423180592992,0.2559912854030501,0.3646237393328161
ThirdPartyObservation,0.7464319695528069,0.7264367816091954,0.4328767123287671,0.5424892703862662
Weather,0.8767840152235966,0.8924050632911392,0.3681462140992167,0.5212569316081331
EmergingThreats,0.8453853472882968,0.4576271186440678,0.084375,0.14248021108179423
SignificantEventChange,0.9124643196955281,0.42105263157894735,0.0898876404494382,0.14814814814814814
MultimediaShare,0.5737392959086585,0.9309462915601023,0.29521492295214924,0.4482758620689655
ServiceAvailable,0.801617507136061,0.67,0.14855875831485588,0.24319419237749548
Factoid,0.7183634633682208,0.6157024793388429,0.22993827160493827,0.33483146067415726
Official,0.8244529019980971,0.7575757575757576,0.06476683937823834,0.11933174224343675
CleanUp,0.9581351094196003,0.0,0.0,0.0
Hashtags,0.7207421503330161,0.6338461538461538,0.3056379821958457,0.41241241241241244
PastNews,0.9686013320647003,0.7573529411764706,0.7573529411764706,0.7573529411764706
ContinuingNews,0.6874405328258801,0.6801470588235294,0.43376318874560377,0.5297065139584826
Advice,0.7873453853472883,0.572463768115942,0.16916488222698073,0.2611570247933884
Sentiment,0.653663177925785,0.6986111111111111,0.4960552268244576,0.580161476355248
Discussion,0.8344433872502379,0.39908256880733944,0.28618421052631576,0.3333333333333333
Irrelevant,0.5023786869647955,0.6968641114982579,0.1725625539257981,0.2766251728907331
Unknown,0.7488106565176023,0.4166666666666667,0.009505703422053232,0.01858736059479554
KnownAlready,0.8058991436726927,0.6984126984126984,0.19213973799126638,0.30136986301369867
